No,Tube_No,Species_one,Species_two,Block,Location,Treatment,Planting_date,Surv_final,sp1_Abovgd_mass,Community_root_mass,sp1_Total_Mass,Comm_RMF,No_of_Plants,"Control, Intra, Inter",Species_two,sp2_Abovgd_mass,sp2_Total_Mass
23,50,Sporobolus airoides,sp1,one,E10,Monoculture,7/27/2016,1,0.0552,0.098,0.1532,0.639686684,2,Intra,Sporobolus airoides,0.0693,0.1673
284,274,Elymus trachycaulus,sp1,three,G14,Monoculture,8/10/2016,1,0.04,0.1138,0.1538,0.739921977,2,Intra,Elymus trachycaulus,0.0428,0.1566
342,578,Pascopyrum smithii,none,six,G18,Control,8/10/2016,1,0.078,0.08,0.158,0.506329114,1,Con,None,,
396,293,Linum perenne,sp1,three,I13,Grass_comp,8/11/2016,1,0.0438,0.1221,0.1659,0.735985533,2,Inter,Pascopyrum smithii,0.1082,0.2303
56,146,Sporobolus airoides,none,two,E06,Control,7/27/2016,1,0.0846,0.0924,0.177,0.522033898,1,Con,None,,
290,288,Elymus trachycaulus,none,three,I08,Control,8/10/2016,1,0.0874,0.1196,0.207,0.577777778,1,Con,None,,
468,93,Linum perenne,sp1,one,I13,Forb_comp,8/31/2016,1,0.005,0.602,0.607,0.991762768,2,Inter,Helianthus annuus,0.0455,0.1057
162,1,Poa secunda,none,one,A01,Control,8/2/2016,0,,,,,1,Con,None,,
3,7,Linum lewisii,none,one,A07,Control,7/27/2016,0,,,,,1,Con,None,,
256,15,Pascopyrum smithii,none,one,A15,Control,8/10/2016,0,,,,,1,Con,None,,
8,17,Linum lewisii,none,one,A17,Control,7/27/2016,0,,,,,1,Con,None,,
9,18,Linum perenne,none,one,A18,Control,7/27/2016,0,,,,,1,Con,None,,
12,21,Linum perenne,none,one,C01,Control,7/27/2016,0,,,,,1,Con,None,,
431,22,Helianthus annuus,none,one,C02,Control,8/25/2016,0,,,,,1,Con,None,,
13,23,Achillea millefolium,none,one,C03,Control,7/27/2016,0,,,,,1,Con,None,,
432,26,Helianthus annuus,none,one,C06,Control,8/25/2016,0,,,,,1,Con,None,,
433,28,Helianthus annuus,none,one,C08,Control,8/25/2016,0,,,,,1,Con,None,,
259,31,Elymus trachycaulus,none,one,C11,Control,8/10/2016,0,,,,,1,Con,None,,
260,34,Elymus trachycaulus,none,one,C14,Control,8/10/2016,0,,,,,1,Con,None,,
20,39,Machaeranthera canescens,none,one,C19,Control,7/27/2016,0,,,,,1,Con,None,,
434,46,Helianthus annuus,none,one,E06,Control,8/25/2016,0,,,,,1,Con,None,,
