,No.,Block_No,Focal_species,Species_code,Population_code,Treatment,Comp_trt,Competitor,Time_in_Exp,initial_nonfocal_leaf_count,initial_focal_leaf_count,nonfocal_root_length,nonfocal_shoot_height,nonfocal_root_mass,nonfocal_shoot_mass,focal_root_length,focal_shoot_height,focal_root_mass,focal_shoot_mass,Trt,focal_species,Type,nonfocal_leaf_count,focal_leaf_count,Nonfocal_species,focal_full_mass,nonfocal_full_mass,focal_rmf,nonfocal_rmf,rmf_diff,shoot_height_diff,root_length_diff,leaf_count_diff,pot_mass,abs_rmf_diff,abs_root_length_diff,abs_shoot_height_diff,final_leaf_diff,abs_final_leaf_diff,initial_leaf_diff,abs_initial_leaf_diff
563,422,14,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,45,5,6,2.34520788,2.917770732,3.202746443,7.536577473,7.483314774,2.708050201,7.745966692,14.73091986,MACA-B Interspecific_competition HEVI-B,NA,Interspecific mixture,8,12,Heterotheca villosa,4.740979493,3.27709077,0.216606498,0.302211302,-0.085604804,-3.5,50.5,4,358.4,0.085604804,50.5,3.5,4,4,1,1
564,427,14,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,6,5,5.656854249,2.014903021,3.054001182,7.694153625,5.291502622,2.302585093,3.820994635,9.093954036,DICA-C Interspecific_competition HEVI-A,NA,Interspecific mixture,13,15,Heterotheca villosa,3.593737424,3.278437861,0.150051387,0.263681592,-0.113630205,2.5,-4,2,177.7,0.113630205,4,2.5,2,2,-1,1
565,428,14,Dieteria canescens,DICA,DICA-C,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,44,4,5,3.492849839,1.504077397,1.30833282,3.1144823,4.582575695,2.397895273,3.674234614,7.962411695,DICA-C Interspecific_competition HEVI-C,NA,Interspecific mixture,7,11,Heterotheca villosa,3.411252894,2.103049006,0.175552666,0.276119403,-0.100566737,6.5,8.8,4,90.3,0.100566737,8.8,6.5,4,4,1,1
566,430,14,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,44,5,4,3.674234614,2.219203484,2.312535424,7.409453421,4.582575695,2.433613355,4.969909456,9.944847912,DICA-C Intraspecific_competition MACA-A,NA,Intraspecific mixture,12,15,Dieteria canescens,3.861962891,3.118010398,0.199838188,0.155384615,0.044453572,2.2,7.5,3,188.6,0.044453572,7.5,2.2,3,3,-1,1
567,431,14,Dieteria canescens,DICA,DICA-C,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,44,6,6,6.08276253,2.302585093,3.238678452,8.5732141,3.872983346,2.140066163,5.07937004,10.38749248,DICA-C Intraspecific_competition MACA-B,NA,Intraspecific mixture,18,15,Dieteria canescens,3.932793221,3.436843399,0.192969334,0.257575758,-0.064606423,-1.5,-22,-3,232.7,0.064606423,22,1.5,-3,3,0,0
568,437,14,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,46,5,4,4.816637832,1.791759469,3.813307032,9.071934744,4.358898944,2.397895273,4.837354649,9.974968672,MACA-A Interspecific_competition HEVI-A,NA,Interspecific mixture,13,10,Heterotheca villosa,3.848678126,3.589601897,0.190398698,0.355015674,-0.164616976,5,-4.2,-3,250.5,0.164616976,4.2,5,-3,3,-1,1
569,438,14,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,46,6,5,4.69041576,1.252762968,2.415913778,4.472135955,6.670832032,2.397895273,9.121403401,14.86606875,MACA-A Interspecific_competition HEVI-C,NA,Interspecific mixture,9,12,Heterotheca villosa,4.8977007,2.624509427,0.273504274,0.358974359,-0.085470085,7.5,22.5,3,335.4,0.085470085,22.5,7.5,3,3,-1,1
570,439,14,Dieteria canescens,DICA,DICA-A,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,45,5,4,4.415880433,1.648658626,2.2300144,5.253570215,4.472135955,1.871802177,5.253570215,9,MACA-A Interspecific_competition HEVI-B,NA,Interspecific mixture,10,11,Heterotheca villosa,3.775390074,2.73561412,0.254143646,0.25203252,0.002111126,1.3,0.5,1,145.5,0.002111126,0.5,1.3,1,1,-1,1
571,441,14,Dieteria canescens,DICA,DICA-A,Intraspecific_competition,Intraspecific - MACA-B,DICA-B,47,6,6,6.32455532,2.302585093,2.93385687,8.246211251,6.363961031,2.442347035,6.964194139,10.57355191,MACA-A Intraspecific_competition MACA-B,NA,Intraspecific mixture,14,10,Dieteria canescens,4.187809218,3.343660886,0.302557704,0.216589862,0.085967843,1.5,0.5,-4,247.1,0.085967843,0.5,1.5,-4,4,0,0
572,444,14,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-A,HEVI-A,43,6,6,3.391164992,1.504077397,2.388762789,5.412947441,4.816637832,2.525728644,5.477225575,10.68644001,MACA-B Interspecific_competition HEVI-A,NA,Interspecific mixture,7,17,Heterotheca villosa,4.020406146,2.793154172,0.208044383,0.271144279,-0.063099896,8,11.7,10,184.4,0.063099896,11.7,8,10,10,0,0
573,445,14,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-C,HEVI-C,43,6,4,4.795831523,1.704748092,4.30676415,9.465727653,5.019960159,1.871802177,3.937003937,8.631338251,MACA-B Interspecific_competition HEVI-C,NA,Interspecific mixture,12,10,Heterotheca villosa,3.545185776,3.711130798,0.172222222,0.452991453,-0.280769231,1,2.2,-2,253.8,0.280769231,2.2,1,-2,2,-2,2
574,446,14,Dieteria canescens,DICA,DICA-B,Interspecific_competition,Interspecific - HEVI-B,HEVI-B,45,4,4,3.872983346,1.757857918,3.407841924,7.252585746,5.196152423,2.079441542,4.472135955,7.252585746,MACA-B Interspecific_competition HEVI-B,NA,Interspecific mixture,8,10,Heterotheca villosa,3.424138096,3.265031037,0.275482094,0.3647343,-0.089252206,2.2,12,2,155.4,0.089252206,12,2.2,2,2,0,0
575,447,14,Dieteria canescens,DICA,DICA-B,Intraspecific_competition,Intraspecific - MACA-A,DICA-A,43,5,5,4.909175083,2.079441542,2.850706502,8.312640976,3.605551275,2.397895273,2.549509757,6.403124237,MACA-B Intraspecific_competition MACA-A,NA,Intraspecific mixture,11,10,Dieteria canescens,2.992095252,3.341159601,0.136842105,0.200231481,-0.063389376,3,-11.1,-1,133.9,0.063389376,11.1,3,-1,1,0,0
